Informazioni cronologiche,Which continent are you from?,Gender,Age,Education degree,"On avarage, how much time do you spend  playing video games per day  ?",What style of video game do you prefer?,"If you selected ""Other"", please specify here",Do you believe video games are a form of art?,"If you selected ""It depends,"" you can specify here.",Is there a video game that has taught you something useful for your academic or professional education?,"If you pressed ""Yes,"" please write which video games have been more useful to you.",Which device do you prefer when it comes to gaming?,"
If you selected ""Other,"" please specify here",Which video games do you believe have enriched you culturally regarding mythology or history?,"If you selected ""Other,"" please respond here","
Do you think it's possible to use video games that have not been designed for educational purposes as educational tools?","If you selected ""It depends,"" you can specify here",Do you believe online video games can facilitate connections between people and offer an alternative to traditional social interaction?,"If you selected ""It depends,"" you can specify here.",Have you ever thought about creating a video game?,"Do you think a video game has inspired you to deepen your knowledge on a subject (for example, literary, cultural, historical, social, scientific, artistic, etc.)?","
Have you ever learned another language or improved your language skills through video games, both online and in single-player mode?","
If you selected ""Other,"" please specify here","In your opinion, is it possible to compare the narrative importance of a video game to that of more traditional media such as books, films, or animation products?",Do you believe that video games have taught you to solve problems in a creative and original way (problem solving)?,"Do you engage in  sport or physical activity?
","Do you think Esports (electronic sports) can be considered a professional practice (for example, League of legends, Counter-strike, Street fighter, StarCraft, Assetto Corsa)?","
Have you improved your social skills thanks to video games? (e.g., communication, expression, empathy, etc.)","Do you prefer the company of people who don't play video games, or of people who share this passion with you?"
15/03/2024 11.07.54,Europe,Male,Millennials (1981-1996),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,,PC,,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization, Ryse son of rome",,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",No,Yes,I prefer the company of non-gamers
15/03/2024 12.07.13,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,souls series,"Console, PC",,Assassin's creed (saga),,Yes,,No,,I have done it.,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
15/03/2024 22.29.16,Asia,Female,Generation X (1965-1980),Bachelor's degree or higher,4-6 hours,Single player,,Yes,,Yes,Assassin's Creed Syndicate and Valhalla,PC,,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,No,Less than once a week.,Yes,No,I prefer the company of gamers
16/03/2024 10.29.17,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,4-6 hours,Both,,Yes,,I don't know,,"Console, PC",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,No,No,I prefer the company of gamers
16/03/2024 20.17.24,America,I prefer not to specify it,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,I don't know,,Console,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,No,I have no preference
17/03/2024 13.11.22,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,I don't play regularly,Single player,,Yes,,No,,"PC, Smartphone /Tablet",,Other (please specify),"Through The Ages, Pentiment, Spiritfarer, Before Your Eyes, The Forgotten City","Yes, and I use them",,I refrain from judgment.,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
17/03/2024 13.49.31,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,I don't play regularly,Single player,,Yes,,I don't know,,"Console, PC",,"Age of Empire, Other (please specify)","Usually strategy games like Europa universalis, or the total war series.",Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,No,Yes,"Yes, every week.",No,No,I have no preference
17/03/2024 13.52.55,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,NieR: Automata,Console,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,It depends (please specify),"For some people, It may be the only option available. In general, in-person interaction is a more stimulating form of social interaction",Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 13.53.32,Asia,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,"Nier Automata, Sekiro, God of War",PC,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,No,No,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 13.59.42,Europe,Male,Millennials (1981-1996),High school diploma or equivalent,7 hours or more,Single player,,Yes,AAA games tend to be mass produced bs. Some indie games might be called art.,Yes,"In the 90's most games where in english, so i had to learn it. Worked better than in school",Console,,No video game has enriched me culturally in terms of mythology or history.,,No,,It depends (please specify),If the community where youre playing is toxic or elistist it wont work.,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 14.09.17,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Single player,,Yes,,No,,PC,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,No,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
17/03/2024 14.12.08,America,Female,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,It depends (please specify),"Games aren't inherently art, but creators can make them art.",No,,PC,,Age of Empire,,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 14.19.54,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Single player,,Yes,,Yes,Garry's Mod,PC,,Other (please specify),The Uncharted series,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
17/03/2024 14.31.58,America,Male,Generation Z (1997-2012),Professional training,2-3 hours,Both,,It depends (please specify),"Video games can be used as a form of expression for someones art, as one can make a song to hear a message one can make a image to see a message however video vames can be used to explore a message. However there are exceptions, the use of videogames as a wat for developing profit has led to many games either having no form of message or being unable to communicate that message effectively. The answer is a dependable variable on the side of how and what the intention of the creator is. ",Yes,"Persona 3 Portable, Metalgear Solid 2, Yume Nikki, ","Console, Portable consoles, PC, VR",,"Hades, Sid Meier's Civilization",,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every day.",Yes,No,I have no preference
17/03/2024 14.54.01,Europe,Female,Generation Z (1997-2012),High school diploma or equivalent,Less than an hour,Single player,,Yes,,I don't know,,Console,,Sid Meier's Civilization,,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 15.02.01,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"Nier Automata, Minecraft","Console, PC",,Hades,,Yes,,Yes,,No,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 15.12.43,America,Other,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,Minecraft helped me learn English when I was younger.,"Console, Portable consoles, PC",,Hades,,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 15.48.39,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,Less than an hour,Single player,,Yes,,Yes,Rpg,"Console, PC",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,No,,No,Yes,I have enhanced my knowledge of another language,,Yes,No,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 15.49.01,Asia,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,Yes,Battlefield 1 inspired me to read books about world war. This then brought interest in the events before world war,"Console, Portable consoles, PC",,"Assassin's creed (saga), Hades, Age of Empire, Sid Meier's Civilization, Immortals fenyx rising, Other (please specify)","Battlefield 1, Raji: An ancient Epic, Hellblade: Senua's Sacrifice, Shadow of the Tomb Raider",It depends (please specify),"Artisitic liberty tends to tell/colour the past differently, especially when the purpose is not educational. It can generate interest",Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every day.",Yes,Yes,I have no preference
17/03/2024 15.58.58,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Single player,,Yes,,No,,PC,,"Other (please specify), No video game has enriched me culturally in terms of mythology or history.","It's not the game itself that did it, but the game got me interested to do some research.",Yes,,It depends (please specify),"First part? Sure, in a way. But an alternative to social interaction? No, not at all.",Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
17/03/2024 16.01.48,Europe,Male,Generation Z (1997-2012),Professional training,2-3 hours,Both,,Yes,,Yes,Resources management ,Console,,Other (please specify),Ghost Of Tsushima ,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,No,Yes,I have no preference
17/03/2024 16.03.50,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,I don't know,,PC,,"God of War (saga Greca), God of war (saga norrena), Hades",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I have no preference
17/03/2024 16.22.36,Asia,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,"Nier, witcher, rdr2",Console,,God of War (saga Greca),,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,Yes,I have no preference
17/03/2024 16.27.55,America,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"Car mechanic simulator, MAG, Barotrauma, Minecraft with create mod pack",PC,,"God of War (saga Greca), God of war (saga norrena), Age of Empire",,"Yes, and I use them",,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
17/03/2024 16.29.12,America,Male,Millennials (1981-1996),High school diploma or equivalent,4-6 hours,Both,,Yes,,No,,Console,,"God of War (saga Greca), Immortals fenyx rising",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
17/03/2024 16.29.59,Europe,Male,Generation Z (1997-2012),Professional training,2-3 hours,Both,,Yes,,I don't know,,Console,,"Assassin's creed (saga), God of War (saga Greca)",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 16.47.20,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Both,,Yes,,I don't know,,"PC, VR",,Other (please specify),Like a dragon,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 16.54.14,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,I don't know,,PC,,Other (please specify),Hearts of Iron IV,Yes,,I refrain from judgment.,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,No,No,I have no preference
17/03/2024 16.56.17,America,Male,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Both,,Yes,,I don't know,,"PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,It depends (please specify),If the games are historically accurate enough to simulate those times.,It depends (please specify),If both parties are nice to one another.,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,Yes,No,I prefer the company of gamers
17/03/2024 17.13.33,America,Other,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Both,,Yes,,I don't know,,Console,,"Assassin's creed (saga), God of war (saga norrena), Other (please specify)","Tomb Raider reboot trilogy (Tomb Raider, Rise of the Tomb Raider, and Shadow of the Tomb Raider)",It depends (please specify),"I think it depends on how it’s approached, because all media made, intentionally or not, is political and  offers a glimpse into the creator’s worldview- which can be very interesting to dissect. At the same time not every game has a lesson to teach or meaning to extract, that doesn’t make them lesser media or not worth your time, just means that pouring over it with an academic lense will yield more subjective results ",It depends (please specify),I think online friends are fine and good but I don’t think it could quite replace actual physical communication ,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,No,No,I prefer the company of gamers
17/03/2024 17.20.46,Asia,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Multiplayer Online,,Yes,,No,,"PC, Smartphone /Tablet",,Other (please specify),"War Thunder, Nier Automata",Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 17.26.20,Europe,Other,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,Learned English with Animal Crossing New Leaf,"Console, Portable consoles, PC",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Less than once a week.,No,No,I have no preference
17/03/2024 18.03.26,America,Male,Generation Z (1997-2012),Middle school diploma,I don't play regularly,Both,,It depends (please specify),"It can be art, all videogames have artistic elements, however some videos games specifically multiplayer games are better off being treated like sports rather than art especially at the highest levels where money is involved. Popular games that fall under that category would be games like Counter strike global offensive, Valorant, Rainbow six siege, Fortnite, etc. ",Yes,As a young child (7-9) I played single player games (or games with story/campaigns) which Involved a lot of reading instructions on my own. I believe this helped improve my reading ability (reading comprehension). ,"Console, PC, Smartphone /Tablet",,God of War (saga Greca),FPS games because I started to watch videos about the real world history of actual guns etc. ,Yes,Age and the content of the game. Games that involve a lot of reading would probably be great for this. ,It depends (please specify),"I do believe It can ""facilitate connection between people"" I do not believe it is a alternative to traditional social interaction. At least not a good alternative. ",Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
17/03/2024 18.05.01,Europe,Male,Generation Z (1997-2012),Middle school diploma,4-6 hours,Both,,Yes,,Yes,"Uhh I learnt a lot of English from games like Minecraft or... any game I've played in English, actually.","Console, PC",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,It depends (please specify),"Not as an only alternative, you still have to experience traditional social interactions, but games are surely a valid way to meet people from all over the world, so their cultures as well",Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I prefer the company of gamers
17/03/2024 18.20.12,America,Male,Generation Z (1997-2012),Middle school diploma,2-3 hours,Multiplayer Online,,Yes,,Yes,Mince Raft,Soffitto sconosciuto,,Other (please specify),Minecraft,Yes,Minecraft education in programmin,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every day.",No,No,I don't play video games.
17/03/2024 18.20.37,Asia,Male,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,I don’t have any games in specific in mind right now but games in general have helped me improved my problem solving and quick thinking. Single player games like Nier Automata also helped me improve my analytical skills and Media literacy. ,Console,,"God of war (saga norrena), Hades, Immortals fenyx rising",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 18.35.58,Europe,Female,Generation Z (1997-2012),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,I don't know,,PC,,Assassin's creed (saga),,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
17/03/2024 18.43.57,Europe,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,Yes,,I don't know,,"Console, Portable consoles",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Sid Meier's Civilization",,Yes,,Yes,,No,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
17/03/2024 18.44.54,America,Male,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Both,,No,,No,,"Console, Portable consoles, PC, Smartphone /Tablet",,No video game has enriched me culturally in terms of mythology or history.,,"Yes, and I use them",,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I have no preference
17/03/2024 18.46.33,America,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,Yes,"Puzzle games, e.g. Portal, A Little to the Left, and Escape Academy, help expanded my lateral thinking skills on various time constraints. Such being, Portal has no time constraints and gives you a vacant space with obstacles to overcome. You could spend an hour there if you wanted to. Unlike Escape Academy, where you are under pressure, and have to absorb information quickly to perform satisfactory.","Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Ryse son of rome, Other (please specify)","Forza, providing history on the automotive industry. Valiant Hearts and Battlefield 1, providing insights on World War 1. Okami, for loose insights on Japanese folklore and myth. Art of Rally, for some light history on the sport of rally racing","Yes, and I use them",,Yes,,Yes,Yes,Other (Specify),Repeated listenings to russian voice lines allow me to mimic the voicelines phonetically.,No,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
17/03/2024 19.06.37,America,Female,Millennials (1981-1996),Professional training,Less than an hour,Single player,,Yes,,Yes,Modding gta series,PC,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,It depends (please specify),I think that online interactions can't really fully replace in person interactions but they are still good to have if someone is isolated.,I have done it.,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,No,I have no preference
17/03/2024 19.07.21,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,Yes,Both seeing potential character development and how a quality product will keep people engaged.,Console,,Other (please specify),"Horizon Zero Dawn/Forbidden West, Red Dead Redemption II, Ghost of Tsushima, Nier Automata ",Yes,,It depends (please specify),"While it can connect more people from disparate locations, it doesn't necessarily create deeper connections between people.",No,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 19.08.24,America,Female,Generation Z (1997-2012),High school diploma or equivalent,Less than an hour,Single player,,Yes,,No,,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena), Hades",,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
17/03/2024 19.09.30,America,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,Yes,,PC,,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I have no preference
17/03/2024 19.14.01,Europe,Female,Generation Z (1997-2012),High school diploma or equivalent,I don't play regularly,Both,,Yes,,I don't know,,PC,,Other (please specify),Paradox Interactive grand strategy games,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I have no preference
17/03/2024 19.18.20,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,4-6 hours,Single player,,Yes,,No,,Console,,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,No,Rarely or almost never.,Yes,No,I have no preference
17/03/2024 19.20.18,America,Male,Millennials (1981-1996),High school diploma or equivalent,4-6 hours,Both,,Yes,,I don't know,,"Console, PC",,Hades,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 19.21.08,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Multiplayer Online,,Yes,,No,,PC,,"Assassin's creed (saga), God of war (saga norrena), Hades, Other (please specify)","Sekiro, Dark souls",Yes,,I refrain from judgment.,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
17/03/2024 19.27.41,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,No,,PC,,"Assassin's creed (saga), Hades",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 19.37.07,Asia,Male,Millennials (1981-1996),Bachelor's degree or higher,7 hours or more,Single player,,Yes,,Yes,"There'll be too many to mention, so can I pick one? Dance Dance Revolution helped me get better at learning how to dance back in high school and college.","Console, Portable consoles, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Immortals fenyx rising",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 19.48.26,Europe,I prefer not to specify it,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Other (please specify),"Single and multiplayer, but tend to stay away from PvP",It depends (please specify),"Yes, they *can* be art, but many games are formulaic and feel soulless. CoD #2876 is probably not going to be called art. Nier Automata I would say is art. Disregarding any art that went into specific aspects. Only looking at the whole. ",Yes,"Minecraft, Nier Automata & Replicant, Cyberpunk, Pathologic, Soma, ACII & Brotherhood, Warframe.... I could go on.... ",Console,,Assassin's creed (saga),,"Yes, and I use them",,It depends (please specify),"It can also lead to social harm. I met some of my best friends on overwatch and warframe, but have my fair share of blocked people and reports. ",Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 19.51.58,Europe,Male,Generation Z (1997-2012),Bachelor's degree or higher,I don't play regularly,Single player,,Yes,"I didn't select ""it depends"", but I want to use this field to note that this option makes no sense, because the same can be said about any form of art. Video games are either a form of art or not, it can't depend on any particular game being or not being a work of art on its own. If you agree that a video game can be a work of art (just one game, even if it doesn't actually exist in your opinion but can exist in theory), then you must agree that video games in general are a form of art.",I don't know,,PC,,Other (please specify),"References to works of famous philosophers, such as Sartre, in Nier Automata. They aren't very informative, but inspire to find out more about the topic.",Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,No,I prefer the company of gamers
17/03/2024 20.11.01,America,Male,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Both,,Yes,,I don't know,,PC,,"God of War (saga Greca), Hades, Age of Empire, Other (please specify)",sakuna of rice and ruin,Yes,,It depends (please specify),"with Discord yes, but it's closer to a supplement than a replacement or alternative.",No,Yes,Other (Specify),maybe a few words or phrases,Yes,Yes,Less than once a week.,Yes,Yes,I have no preference
17/03/2024 20.21.28,Europe,I prefer not to specify it,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,No,,PC,,Hades,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 20.26.09,I prefer not to specify it,Male,Generation Z (1997-2012),Middle school diploma,4-6 hours,Single player,,Yes,,Yes,"Its really hard to explain but some games especially story based ones like nier have gought me empathy more than anything and to see both sides of any situation it may sound stupid but changing characters ingame and seeing different perpectives has really thought me a lot and fromsoft games genuinely make me feel dedicated to something, basically teaching persistence","Console, PC",,"God of War (saga Greca), Hades",,Yes,,It depends (please specify),Online relationships depends on the games you play and where you find people just make sure not to touch games with extremely toxic people being influenced by them would be bad,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every week.",Yes,Yes,I prefer the company of gamers
17/03/2024 20.37.51,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,Less than an hour,Single player,,Yes,,No,,"Portable consoles, PC",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",No,No,I prefer the company of gamers
17/03/2024 20.38.01,America,Male,Millennials (1981-1996),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"Most games have items with drop rates or percentage chance to do things, so I learned a lot of math and probability ","Console, Portable consoles, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Rarely or almost never.,Yes,Yes,I prefer the company of gamers
17/03/2024 20.42.38,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,Less than an hour,Multiplayer Online,,Yes,,I don't know,,PC,,Sid Meier's Civilization,,Yes,,Yes,,Yes,Yes,"Yes, I have learned another language.",,Yes,Yes,"Yes, every week.",Yes,No,I have no preference
17/03/2024 20.53.57,America,I prefer not to specify it,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,It depends (please specify),,I don't know,,Other (please specify),Mac laptop ,No video game has enriched me culturally in terms of mythology or history.,,Yes,,It depends (please specify),,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,No,No,I have no preference
17/03/2024 21.07.02,Oceania,Male,Generation X (1965-1980),Professional training,2-3 hours,Both,,Yes,,Yes,Battlefield 1 got me interested in WW1 history.,Console,,Other (please specify),Battlefield 1,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,No,I have no preference
17/03/2024 21.18.02,America,Male,Generation Z (1997-2012),High school diploma or equivalent,7 hours or more,Both,,Yes,,I don't know,,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena), Sid Meier's Civilization",,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,Less than once a week.,No,Yes,I have no preference
17/03/2024 21.27.43,America,Female,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,LittleBigPlanet 2 and 3,"Console, PC",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,No,I prefer the company of gamers
17/03/2024 22.01.53,America,Female,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Single player,,Yes,,Yes,,"Console, PC",,"Assassin's creed (saga), Hades",,Yes,,Yes,,No,Yes,"No, I haven't learned another language.",,Yes,Yes,Rarely or almost never.,Yes,Yes,I have no preference
17/03/2024 22.08.10,Asia,I prefer not to specify it,Millennials (1981-1996),Bachelor's degree or higher,2-3 hours,Single player,,Yes,,No,,PC,,Assassin's creed (saga),,Yes,,Yes,,Yes,Yes,"No, I haven't learned another language.",,Yes,Yes,"Yes, every day.",Yes,Yes,I prefer the company of non-gamers
17/03/2024 22.20.47,Europe,Male,Generation Z (1997-2012),High school diploma or equivalent,Less than an hour,Both,,Yes,,Yes,,PC,,Other (please specify),DEFCON,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,"Yes, every week.",Yes,Yes,I have no preference
17/03/2024 22.21.40,America,Female,Generation Z (1997-2012),High school diploma or equivalent,2-3 hours,Both,,Yes,,Yes,"Civilization series, simcity series.",PC,,Sid Meier's Civilization,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
17/03/2024 22.23.18,America,Male,Generation Z (1997-2012),High school diploma or equivalent,4-6 hours,Both,,Yes,,No,,"Console, Cloud, Portable consoles, PC, VR",,No video game has enriched me culturally in terms of mythology or history.,,Yes,,Yes,,Yes,Yes,I have enhanced my knowledge of another language,,Yes,Yes,Less than once a week.,Yes,Yes,I prefer the company of gamers
